                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40 
                                    mass                                   radius                               luminosity                                 pressure                                   logRho                                     logT                                   energy                                  entropy                                       cp                                   gamma1                                    grada                                       mu                                   free_e                                     pgas                                     prad                                    gradr                                    gradT                                 conv_vel                                  opacity                                  eps_nuc                                       pp                                      cno                                 tri_alfa                        eps_nuc_neu_total                              non_nuc_neu                                 eps_grav                                        x                                        y                                      c12                                      n14                                      o16                                      o18                                     ne22                                      eta                                log_omega                                    v_rot                                    j_rot                           dynamo_log_B_r                         dynamo_log_B_phi                               log_D_conv 
                 4.9999903794996932E+001                  4.9343869393775464E+002                  6.7749694368113211E+004                  6.8728776946938660E+002                 -8.5905430529179068E+000                  3.6227463439791099E+000                  1.9079882340751367E+012                  2.1583578195248265E+001                  1.6198497999999997E+008                  1.6585647612810130E+000                  3.9591025188565249E-001                  1.3008292019367214E+000                  7.6151950845326544E-005                  6.8650665064255429E+002                  7.8111882683232015E-001                  1.2508538776605810E-001                  1.2508538776605810E-001                  0.0000000000000000E+000                  5.4639968805821884E-003                  5.8276219696252161E-004                  1.0455138102140887E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1827502458846952E-037                  0.0000000000000000E+000                  4.3503832946960399E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119864E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903720135862E+001                  4.9343863770219087E+002                  6.7749694367944554E+004                  6.8736994702804634E+002                 -8.5904968201587497E+000                  3.6227530494798930E+000                  1.9079941477822695E+012                  2.1583485568778205E+001                  1.6198476599999997E+008                  1.6585654318332668E+000                  3.9591057598590845E-001                  1.3008290976285930E+000                  7.6150071718380266E-005                  6.8658877995786884E+002                  7.8116707017751252E-001                  1.2509940171093589E-001                  1.2509940171093589E-001                  0.0000000000000000E+000                  5.4645788378329683E-003                  5.8276219696252161E-004                  1.0456251244018817E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1831955766319436E-037                  0.0000000000000000E+000                  4.3519854354289240E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119864E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903570413714E+001                  4.9343852524299814E+002                  6.7749694367607124E+004                  6.8753932556338532E+002                 -8.5904033826343245E+000                  3.6227664612299404E+000                  1.9080059752515229E+012                  2.1583413526242978E+001                  1.6198438099999997E+008                  1.6585668027400966E+000                  3.9591120928525919E-001                  1.3008292168378826E+000                  7.6146658543597935E-005                  6.8675806199219255E+002                  7.8126357119272338E-001                  1.2512706859896119E-001                  1.2512706859896119E-001                  0.0000000000000000E+000                  5.4657369371361366E-003                  5.8276219696252161E-004                  1.0458501292501345E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1840957455968684E-037                  0.0000000000000000E+000                  4.3572030841759091E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366045E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903270969426E+001                  4.9343830037284567E+002                  6.7749694366931464E+004                  6.8787886318129995E+002                 -8.5902157610221064E+000                  3.6227932878208748E+000                  1.9080291755003230E+012                  2.1583120212689277E+001                  1.6198354299999997E+008                  1.6585693210363384E+000                  3.9591252431273455E-001                  1.3008291274309154E+000                  7.6139642045135276E-005                  6.8709740655006544E+002                  7.8145663123446385E-001                  1.2518299830019633E-001                  1.2518299830019633E-001                  0.0000000000000000E+000                  5.4680568739447315E-003                  5.8276219696252161E-004                  1.0463020829684511E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1859038609062490E-037                  0.0000000000000000E+000                  4.3727000932583877E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  3.4416106108119868E-003                  1.0081585468366045E-003                  9.3604466091399743E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999902672080850E+001                  4.9343785082617546E+002                  6.7749694365575342E+004                  6.8855950763110081E+002                 -8.5898403040031042E+000                  3.6228469533968033E+000                  1.9080819457442104E+012                  2.1582595345752267E+001                  1.6198189999999997E+008                  1.6585743427276607E+000                  3.9591502770781511E-001                  1.3008291721343990E+000                  7.6125692661710182E-005                  6.8777766464739830E+002                  7.8184298370253291E-001                  1.2529510129024116E-001                  1.2529510129024116E-001                  0.0000000000000000E+000                  5.4726966976807361E-003                  5.8276219696252161E-004                  1.0472070919904213E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1895244985986375E-037                  0.0000000000000000E+000                  4.3975827255225823E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  3.4416106108119868E-003                  1.0081585468366047E-003                  9.3604466091399760E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010490417477E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999901474303684E+001                  4.9343695250733157E+002                  6.7749694362847673E+004                  6.8991517850201535E+002                 -8.5890921091764092E+000                  3.6229543339980999E+000                  1.9081806664123657E+012                  2.1581550795611768E+001                  1.6197862499999994E+008                  1.6585844904184333E+000                  3.9592007547616948E-001                  1.3008295446634288E+000                  7.6097393341979566E-005                  6.8913256188380410E+002                  7.8261661821121276E-001                  1.2551937186145523E-001                  1.2551937186145523E-001                  0.0000000000000000E+000                  5.4820062166267402E-003                  5.8276219696252172E-004                  1.0490128905842547E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1967488933781072E-037                  0.0000000000000000E+000                  4.4272876813438451E+000                  6.9999999999999996E-001                  2.8000000000000019E-001                  3.4416106108119864E-003                  1.0081585468366047E-003                  9.3604466091399795E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010490417473E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999899078749358E+001                  4.9343515895241279E+002                  6.7749694357355445E+004                  6.9262967050399027E+002                 -8.5875995621269130E+000                  3.6231692912358699E+000                  1.9083740281410098E+012                  2.1579358948342815E+001                  1.6197207599999997E+008                  1.6586046069860454E+000                  3.9593013003468508E-001                  1.3008296787738796E+000                  7.6040717481773413E-005                  6.9184550290361449E+002                  7.8416760037576594E-001                  1.2596754531330479E-001                  1.2596754531330479E-001                  0.0000000000000000E+000                  5.5005882378217023E-003                  5.8276219696252161E-004                  1.0526245209460148E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2111978156554750E-037                  0.0000000000000000E+000                  4.5048729103183156E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  3.4416106108119851E-003                  1.0081585468366045E-003                  9.3604466091399760E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000011205673214E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999894287640714E+001                  4.9343158411040230E+002                  6.7749694346178541E+004                  6.9805953915594012E+002                 -8.5846376174613184E+000                  3.6235999836329533E+000                  1.9087667264837646E+012                  2.1575063367655908E+001                  1.6195910899999997E+008                  1.6586446762084954E+000                  3.9595020562410338E-001                  1.3008302450180045E+000                  7.5925654979122712E-005                  6.9727225472316718E+002                  7.8728443277291948E-001                  1.2686362255436809E-001                  1.2686362255436809E-001                  0.0000000000000000E+000                  5.5377620830180932E-003                  5.8276219696252194E-004                  1.0598286308227242E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2400190440924436E-037                  0.0000000000000000E+000                  4.6424820232299284E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  3.4416106108119851E-003                  1.0081585468366045E-003                  9.3604466091399760E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000012159347527E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999884705423419E+001                  4.9342448286860696E+002                  6.7749694323141986E+004                  7.0891752811540653E+002                 -8.5787942683475134E+000                  3.6244644211741037E+000                  1.9095651132899380E+012                  2.1566680446254527E+001                  1.6193354900000000E+008                  1.6587243676185603E+000                  3.9598990604281420E-001                  1.3008312433958045E+000                  7.5690511705406457E-005                  7.0812395049058000E+002                  7.9357762482651306E-001                  1.2865447080652412E-001                  1.2865447080652412E-001                  0.0000000000000000E+000                  5.6120455733623051E-003                  5.8276219696252161E-004                  1.0741858653740740E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2974575262657070E-037                  0.0000000000000000E+000                  4.9102107027044735E+000                  7.0000000000000029E-001                  2.7999999999999986E-001                  3.4416106108119812E-003                  1.0081585468366039E-003                  9.3604466091399743E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000014781951901E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999865540988822E+001                  4.9341046959726629E+002                  6.7749694274412221E+004                  7.3064037134007992E+002                 -8.5674195596426923E+000                  3.6262050564874055E+000                  1.9111756473057478E+012                  2.1550576897134601E+001                  1.6188386600000000E+008                  1.6588809490203853E+000                  3.9606768637895573E-001                  1.3008323609828940E+000                  7.5211584989305500E-005                  7.2983396867296233E+002                  8.0640266711760111E-001                  1.3223159828677283E-001                  1.3223159828677283E-001                  0.0000000000000000E+000                  5.7607271312521439E-003                  5.8276219696252150E-004                  1.1026939725903565E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4115089058875557E-037                  0.0000000000000000E+000                  5.4190969834080009E+000                  7.0000000000000029E-001                  2.7999999999999986E-001                  3.4416106108119834E-003                  1.0081585468366041E-003                  9.3604466091399812E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000016927719113E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
